Job Title,Company Name,Company City,Job Summary,Date Posted,Day extracted,Job id,Job Url,lat,lng,admin_name,capital,population,Job_desc
Inhouse Consulting Project Manager - Supply Chain Management and/or Procurement(m/f/d),Bayer,Leverkusen,"Preferably in the life science or chemical industry or/and other relevant industries, e.g. automotive, fast moving consumer goods.",27,4/2/21,recJobLoc_bc8f2b607405cb8f,https://de.indeed.com/rc/clk?jk=bc8f2b607405cb8f&fccid=e08122e0e993cc32&vjs=3,51.0333,6.9833,North Rhine-Westphalia,minor,163838,"Develop solutions for our clients together with our global team and knowledge management,Work in close collaboration with our clients in the life sciences,Be a role model (m/f/d) for our younger consultants and develop their consulting skills on the job,Support Business Consulting internal activities such as recruiting, training and knowledge development,Graduated in engineering, natural science or business, ideally with focus on supply chain management and/or procurement,Several years of work experience, ideally in management consulting and focus on supply chain and/or procurement,Preferably in the life science or chemical industry or/and other relevant industries, e.g. automotive, fast moving consumer goods,Deep knowledge of relevant processes, methods and tools, e.g. network and cost optimization, end-to-end supply chain strategy, sourcing strategy,Leadership and proven project management skills and experience,Empathic communication and the ability to drive implementation,International work experience and intercultural approach, willingness to travel at times,Excellent command of English; German or a further language would be an advantage"
"MTA, Medical Technical Assistant (m/f/d)",midge medical GmbH,Berlin,"You worked in the pharmaceutical, chemical or biotech industry.
At midge medical, we’re reimagining the way healthcare systems work.",14,4/2/21,recJobLoc_23528f6c812a57dc,https://de.indeed.com/rc/clk?jk=23528f6c812a57dc&fccid=6140ee4ba617f7ae&vjs=3,52.5167,13.3833,Berlin,primary,3644826,"Be part of a small dynamic team that combines start-up spirit with highly professional medical expertise,Be accountable for organizing and conducting tests and handling of samples,Play a main role in developing new disruptive diagnostic procedures,Calibrate and maintain measurement instruments,Conduct common laboratory analytical and preparatory procedures,Successful graduation as MTA (Medizinisch Technische/r Assistant/in),5 years of experience with laboratory practices, lab operations,Experience with molecular methods, genetic testing, especially real time-PCR testing,Fluency in German and English (spoken and written),Interest in contributing to fast-moving innovative medical devices research and development,Able to conduct routine equipment maintenance,You worked in the pharmaceutical, chemical or biotech industry"
Civil Engineer for Infrastructure Planning (m/f/d),BASF,Ludwigshafen am Rhein,"Ludwigshafen is the world's largest integrated chemical complex and home to BASF Group headquarters.
The European Site & Verbund Management is continuously…",30,4/2/21,recJobLoc_a3ae70595cb397b0,https://de.indeed.com/rc/clk?jk=a3ae70595cb397b0&fccid=38313780e9822361&vjs=3,,,,,,
"Manufacturing Engineer, Paint Process Equipment - Gigafactory Berlin (m/w/d)",Tesla,Berlin,"Tesla is accelerating the world's transition to sustainable energy.
Revolutionary strategies and products were developed within a few years and successfully…",30,4/2/21,recJobLoc_bd395cccee7d72db,https://de.indeed.com/rc/clk?jk=bd395cccee7d72db&fccid=86e9be6ce380173e&vjs=3,52.5167,13.3833,Berlin,primary,3644826,"<p>
Lead project execution to ensure they are delivered to scope, on time and on budget. Procure equipment, track budget costs, and project schedules.</p>,<p>
Develop initial manufacturing strategies for new projects by performing detailed feasibility, project timing and cost estimate studies.</p>,<p>
Participate in engineering activities with the product design team ensuring that flexible, cost effective, robust and reusable processes and equipment are implemented.</p>,<p>
Provide technical support for the assessment of different manufacturing scenarios.</p>,<p>
Identify, investigate, test and validate new innovative technology and work methods for future implementation (e.g. virtual manufacturing environment, product feasibility simulation, throughput simulation).</p>,<p>
Lead sourcing activities including identification of potential suppliers and technical evaluations of quotations.</p>,<p>
Iterate engineering design to meet functional requirements and lead vendors through mechanical, electrical and software design reviews.</p>,<p>
Install, commission and start-up equipment balancing speed and safety.</p>,<p>
Ensure manufacturing lines meet uptime, availability and reliability metrics – OEE, cycle time, quality and first time through.</p>,<p>
Lead the developing and deliver training to operations and maintenance technicians to ensure and seamless handover of new equipment.</p>,<p>
Coordinate continuous improvement measures to ensure that project lessons learnt are captured and knowledge is transferred across the team and organization.</p>,<p>
Ensure that all equipment, processes and methodologies comply with applicable standards, company policy and all Health and Safety Laws, Acts, Regulations and Codes.</p>,<p>
Travel is expected – e.g. for vendor visits, equipment installation and commissioning.</p>,<div><p>
Bachelor's Degree in Mechanical, Electrical, Manufacturing, Industrial, or Chemical Engineering, or equivalent experience.</p></div>,<p>
5+ years Paint Manufacturing Engineering experience.</p>,<p>
Proficient in Microsoft Office suite of programs.</p>,<p>
Experience designing automated manufacturing equipment is advantageous</p>,<p>
Proficient in 3D CAD tools and Simulation tools (CATIA, Delmia, and Witness or similar such as TC, Process Designer, Process Simulate would be considered an advantage).</p>,<p>
Exemplary verbal and written communication skills, must be fluent in the German and English languages.</p>,<p>
Experience creating process documentation</p>,<p>
Proficiency in writing PFMEAs</p>,<p>
Knowledgeable about production quality metrics is advantageous</p>,<p>
Experience developing standardized work instructions.</p>,<p>
Experience with line layout, development and optimization.</p>"
(Senior) Consultant IT Project Management - Germany,Arcondis,Frankfurt am Main,"Professional experience as a Project Manager in large IT infrastructure projects, preferably in the pharmaceutical, medical device, chemical or healthcare…",6,4/2/21,recJobLoc_33619613d16ff22d,https://de.indeed.com/rc/clk?jk=33619613d16ff22d&fccid=c9c15ff323588b62&vjs=3,,,,,,
Sales Account Manager,Sensient Technologies,Geesthacht,"Due to the chemical and advisory nature of this role, you ideally bring a Bachelor’s degree or equivalent qualification in a technical discipline.",30,4/2/21,recJobLoc_23b9fd0cb85002b2,https://de.indeed.com/rc/clk?jk=23b9fd0cb85002b2&fccid=a07c177f37b8a925&vjs=3,53.4381,10.3747,Schleswig-Holstein,,30551,
Senior AR Programmer (m/w/d),realworld one GmbH & Co KG,Berlin,"An opportunity to work for a market-leading, successful tech company with a broad international customer base from multiple fields, including the life sciences…",30,4/2/21,recJobLoc_21ef030dedb9c0a3,https://de.indeed.com/rc/clk?jk=21ef030dedb9c0a3&fccid=82bcc19daeb9d6bc&vjs=3,52.5167,13.3833,Berlin,primary,3644826,"Write clean, well-tested, performant code,Write and maintain technical design and software system documentation,Analyze and optimize systems as required,Recognize opportunities to improve our application or general workflows, and seek to make these changes,Create and improve new means of Augmented Reality interaction,Strong C++ knowledge, especially in the context of Unreal Engine,A minimum of four years' programming experience,Experience working with a large codebase and its modules, supporting tools and associated pipelines,Strong capacity to translate design or creative intentions into technical solutions,Capability to dive into engine-level code to achieve the desired outcomes,Ability to design and communicate gameplay systems to a team,Competence in writing solid, reliable, and efficient code,BS (or higher) in Computer Science or a similar discipline (i.e., Physics, Math, EE, etc.),Strong verbal and written communication skills in English,An opportunity to work for a market-leading, successful tech company with a broad international customer base from multiple fields, including the life sciences and the analytical, pharmaceutical, chemical and processing industries,Receive a competitive salary in accordance with your market area,The experience of creating highly-valuable and innovative technology, while contributing to the long-term growth of a successful tech company,Profit from an open and modern work environment
,Be a part of a diverse international team with highly-qualified and dedicated colleagues representing over 30 nationalities
,Receive relocation and visa support
"
Technical Sales & Development Engineer (m/f/d),Trinseo,Rheinmünster,"You are expected to have at least 3 years of experience in a technical role, preferably with a paper and/or chemical background ideally in R&D.",30,4/2/21,recJobLoc_a03f986bdfe62632,https://de.indeed.com/rc/clk?jk=a03f986bdfe62632&fccid=f20a2b00c43b0bec&vjs=3,,,,,,"Set-up tests/interpretation,Work closely with R&amp;D Product Development team to bring new Binders grades to the market,Rheology measurements and interpretation,Customers support,Successfully completed Bachelor or Master
,Work experience of minimum 3 years in Industry, ideally in Packaging converting or similar
,Experienced in project work (optimization or improvement projects),Technical understanding in chemistry or material science, also technical background in packaging converting or specialty papers,Good knowledge in rheology and formulation,Capability to work independently as well as in teams,Precise and structured way of working,Computer skills: MS office,Fluent German and English language skills"
Gas and Chemical Engineer - Maintenance (m/w/d) - Gigafactory Berlin-Brandenburg,Tesla,Berlin,"BS degree in mechanical or chemical engineering.
Integrate and standardize best safety practices for all gas and chemical distribution systems.",30,4/2/21,recJobLoc_fd2681e4399d1407,https://de.indeed.com/rc/clk?jk=fd2681e4399d1407&fccid=86e9be6ce380173e&vjs=3,52.5167,13.3833,Berlin,primary,3644826,"Gas/chemical equipment and systems maintenance, including process/equipment improvements,Review/analyze data and monitor equipment to identify trends and ensure processes are running within specifications,Evaluation of process requirements and specification of new gas and chemical delivery systems as required,Understand and apply Failure Mode Effects Analysis (FMEA) concepts and root cause failure analysis to open-ended problems,Future scenario planning support including infrastructure budget and schedule forecasting, utilization and capacity data analysis, and reporting,Project management for design, budget, contractor selection, mechanical &amp; electrical construction, equipment installation &amp; qualification of new gas and chemical delivery systems,BS degree in mechanical or chemical engineering,Professional Engineering license preferred,At least 4 years of gas and chemical delivery systems operations experience; semiconductor facility or battery manufacturing facility support preferred,Hazardous production material (HPM) expertise,Strong data and system analysis,Strong troubleshooting background and issue resolution,High tolerance of change,Strong teamwork and communication skills,Experience with design and installation of gas and chemical equipment, including piping systems and facility support equipment,Experience in managing and leading projects including design/specification, bidding, and coordination"
Battery Cell Design and Simulation Specialist (m/f/d),Hays,München,Ability to effectively discuss and communicate sophisticated technical and chemical topics and concepts to people with varying technical backgrounds.,2,4/2/21,recJobLoc_14b6cdbf4c092241,https://de.indeed.com/rc/clk?jk=14b6cdbf4c092241&fccid=31670bef3ae6497b&vjs=3,,,,,,"Help build a design and simulation toolchain (together with IT and dev Ops) that will allow fast and agile battery development,Use those tools to design battery cells and predict cell capacity, DCR, power, charge characteristics, etc.,Identify promising cell technologies and develop the network (internal and external) to test cell performance, life and abuse characteristics.,Bring disruptive, feasible ideas and technologies into the company's battery system,Designing appropriate test bucks and experiments, identifying suitable test resources, specifying test set ups and instrumentation as well as ensuring proper test execution, data acquisition and documentation,Work closely with mechanical designers of the battery pack as well as safety and battery modeling experts,MSc or PhD in Material Science, Chemistry or Physics or similar,Strong technical expert with several years of industry and/or research experience in batteries. Ideally in automotive and/or aerospace,Deep first principle understanding of battery chemistry (e.g., side and surface reactions/SEI, Li Ion diffusion, electrolyte interactions, abuse behavior, etc.),Broad knowledge of current state of the art materials, cell performance, cost and trends in research &amp; development,Fluent with (automotive) battery requirements, characterization and performance testing,Experience with battery simulation and relevant tools such as Comsol, 3DS Experience, CD-Adapco or similar,Familiar with common battery models (e.g. RC equivalent circuit models, thermal and Li plating on set models) as well as data acquisition and processing tools (e.g. Matlab, Voltaic, Maccor, Scienlab),Strong data driven approach in material and design evaluation,Excellent English skills (proficient), German is a plus,Self-driven and excited to work in an open, fast growing organization with little structure on green field challenges. Ability to effectively discuss and communicate sophisticated technical and chemical topics and concepts to people with varying technical backgrounds,Being part of an exciting and innovative company in the field of E-mobility/autonomous driving,An inspiring work environment with agile working methods and open feedback culture, hands- on mentality,Attractive career perspectives,A responsible task in which you can contribute and implement your own ideas,Flat hierarchies and short decision-making paths,Competitive compensation package,Home Office possibilities,Permanent employment contract,Flexible working hours,Modern open work space,Our customer is a new start-up that is part of a renowned German OEM. They are a highly ambitious and innovative company with the goal to develop self- driving, electrical cars which will allow passengers a completely new mobility and user experience."
Senior Regulatory-Toxicologist (f/m/d),Rambøll,München,As our new Regulatory-Toxicologist (f/m/d) you will support a range of challenging regulatory and technical projects as part of our international chemical…,30,4/2/21,recJobLoc_8b8d089a6b6daa64,https://de.indeed.com/rc/clk?jk=8b8d089a6b6daa64&fccid=d59125385b36aedc&vjs=3,,,,,,"Developing testing strategies – QSARs, in vitro and in vivo testing as well as read-across assessments
,Monitoring of toxicological studies incl. subcontracting CROs for toxicological endpoints, adaptation of study design and protocols, dose selection and review of study reports
,IUCLID6 realization – robust study summaries, derivation of safe exposure levels
,Classification and labelling (CLP/GHS)
,Provision of regulatory advice in terms of client representations at external meetings and participation in external events (e.g. stakeholder days, conferences, authority meetings)
,Strong experience in regulatory toxicology is preferred and project management experience is desired
,Strong academic background in toxicology, biology, chemistry, or similar
,Detailed knowledge of toxicology; qualifications such as ERT or DABT are desirable but not essential
,Experience in conducting or critically evaluating animal and/or in vitro studies
,Computer literacy (MS Office, IUCLID &amp; Chesar)
,You enjoy working both independently or as part of a team
,You are always able to meet deadlines and project budget requirements, while dealing with evolving priorities
,Basic German and strong English language skills complete your profile
"
Experienced Global Chemical Regulatory Affairs Manager,knoell Germany GmbH,Mannheim,"Whether for the registration of agrochemicals, industrial chemicals, biocides, veterinary pharmaceuticals or medical devices - as a leading service provider in…",15,4/2/21,recJobLoc_92c0cb7abfa9e0a0,https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZuePf1nWB2DdP4s-HuEBJuT0yWJaEN0DsdPYcCPDZTxUuvlDcHeUlHm637zwMQpPDsOWLfEV893CfFH4rwzxNnTisR7ghXzY2g5MVPTpcx8nuggvZvcDDYHgRbn0ZBlCsrqzF6lxjP04E3MspmIibQrxUuWz1BmGIlQfj8dsBUMNVY3p-0QfqvvBdZTLtgmxOaUiO2dAT1Bvjr7U0AV-slweVOL8Rvp_LRmBLlPK00BCBb-PD4l1ckdaZSEWnLuiJ9EBGJoU9j9IKwj5M5qIuqjLjMdmyvDTLdYxAe3dvud5zJ8-Pc0KZmPbvyvsXgFBjuTj-YNRsLqpgnVsin4h_w5ynniOrIv2eVU33SyahNjTHUczAIdUtEWjPAwiRuVqje3RHPmMNT6lZ_PxePdAhaKCVv_PqinclAyrRlL8TCDNVKD27rPZcfrBoZ87P2_ZqkOzMREIwMKklQ-EMSKR14FWUytX9wpcwSjdExBr0C8ikEPrmlzX9&p=13&fvj=0&vjs=3,49.4878,8.4661,Baden-Württemberg,minor,309370,"You will manage projects and coordinate global regulatory projects,You are responsible for the preparation of proposals,You will implement new processes for global registrations,You are responsible for the development of regulatory strategies for our clients based on their product portfolio,You are responsible for the communication and close co-operation with our clients, your colleagues in the knoell group and the competent authorities,You will develop and maintain regulatory knowledge of European and worldwide regulations,You will actively contribute to knowledge transfer in a fast growing, strongly team-oriented working group,You have an university degree in Chemistry, Biology or similar physical science; higher degree would be preferred,You have at least 5 years professional experience in the registration and/or notification of chemicals &amp; their mixtures in Europe (EU REACH) and in other jurisdictions (e.g., Korea REACH, US TSCA, AICIS, China REACH),If you have professional experiences in the global registration and/or notification of chemicals used in cosmetics and/or food / food contact materials, it would be an asset,You have excellent communication and presentation skills in in English (spoken and written); additional language skills, e.g. German, would be an asset,You are self-motivated with excellent interpersonal and team playing skills,You have a service oriented personality and attitude,If you have experience in project management according to PMI / PMBOK or any other international PM standard, it would be an asset,If you have experience in managing international projects and teams, it would be an advantage,You will work in a dynamic field in a friendly and supportive team,A well-structured induction plan will make your start easier and your further education will be supported by our knoell Academy,On average each employee has 3 days of further education per year,We offer a wide range of opportunities for further development within the framework of our specialist and management careers as well as in project management according to the international PMI standard,We support you in balancing your work and private life and offer you 30 days of vacation, a childcare allowance, family-friendly flexible working time models and the opportunity to work at home office,In addition to your fixed salary, we reward your commitment with performance-related bonuses,We have an employee participation scheme in place, allowing our employees to benefit from the success of the company,You will receive a canteen allowance and we provide coffee, tea and water free of charge,To strengthen our team spirit, team events are held in addition to the annual employee meeting,Through our company pension plan, we provide you with financial support for your retirement and pay 20% voluntarily instead of the statutory employer's allowance of 15%,We pay a relocation allowance,We offer ""Jobrad"" – save up to 40 % with company bicycle leasing,We offer yoga and meditation sessions for your well-being"
"Lead Process Engineer – Downstream/ Purification, 100% (m/f/d)",CRB Germany GmbH,Stuttgart,CRB is a privately-held company with a 30+ year history of providing design and construction solutions to the global life science marketplace.,30,4/2/21,recJobLoc_db1ba95b9fe23063,https://de.indeed.com/rc/clk?jk=db1ba95b9fe23063&fccid=36feaa74f5cee646&vjs=3,48.7761,9.1775,Baden-Württemberg,admin,634830,"10+ years of experience with Biologic Processes, minimum 3 years involvement in design (preferably in a design firm setting),Experience with developing process strategies/ philosophies for downstream biologic operations, from initial concept through specification and eventual start-up/ qualification. Unit operation experience should include most of the following:<ul>CentrifugationFiltration (Micro-, Ultra-, Dia-, Viral)ChromatographyInactivationTransfer SystemsHold/ Pool VesselsFormulationBulk FillingSupport Services (washers, autoclaves)Associated CIP and Utility Requirements</ul>,Centrifugation,Filtration (Micro-, Ultra-, Dia-, Viral),Chromatography,Inactivation,Transfer Systems,Hold/ Pool Vessels,Formulation,Bulk Filling,Support Services (washers, autoclaves),Associated CIP and Utility Requirements,Experience with FDA, EMA regulatory standards required,Advanced knowledge and application of cGMP and ASME BPE required,Language: Fluent in German (C2+technical language), ability to communicate in English (B2+) is a plus,Experience with PFD, P&amp;ID software tools such as Visio, ASPEN, COMOS, SmartPlant or AutoCAD,Leading downstream process definition/ development from initial concepts through detailed design; taking responsibility for the entire downstream process and ensuring the development of all necessary and high-quality process deliverables,Working with SME developing and recommending concepts, initial evaluations, options, regulatory concerns, technologies and strategies,Working closely with client operations/ manufacturing personnel in the collection of data and definition of downstream processes,Developing mass, utility and energy balances and defining utility consumption and generation requirements,Leading the technical development of process narratives, block flow diagrams (BFDs), process flow diagrams (PFDs) and P&amp;IDs,Developing control and CIP/ SIP strategies corresponding with defined processes,Developing technical process equipment lists, specifications and datasheets,Writing testing requirements and attending factory acceptance tests (FATs) for process equipment,Leading and coordinating with supporting process team members and with process architecture and utility engineering team leads,Working with facility planners to layout the process needs, including space, adjacencies and flows,Supporting the development of equipment cost estimates through solicitation of vendor quotes,Supporting the project in the construction phase with submittal reviews, responding to RFIs, making field visits to ensure design intent is,Representing CRB with external partners and clients and developing key relationships throughout the industry including participation in industry organizations (e.g. – ISPE), writing papers/ articles, and speaking and presenting,Working to stay abreast of the latest technologies used in our industry and being aware of the approximate costs of the various technologies that could be used to solve our clients’ design challenges,Being a mentor to Junior Process engineers and other non-technical staff"
Senior Scientist Media Raw Materials (m|f|d),Sartorius,Ulm,"Apply your expert chemical know-how to guide raw material characterization using a variety of analytical techniques (e.g. mass spectrometry, Raman spectroscopy)…",30,4/2/21,recJobLoc_b45b2c708b111c9e,https://de.indeed.com/rc/clk?jk=b45b2c708b111c9e&fccid=223a83189e0bc47a&vjs=3,48.3984,9.9916,Baden-Württemberg,minor,126329,"<p>
Develop advanced methods in selection, analytics, and performance assessment of raw materials for cell culture media
</p>,<p>Represent Sartorius as subject matter expert at scientific conferences, peer groups and within our Sartorius network</p>,<p>
Collaborate successfully in a dynamic intercultural and cross-disciplinary team</p>,<p>
Prepare project presentations and publications
</p>,<p>
Ph.D. in analytical chemistry, chemistry, biotechnology or related field</p>,<p>
Several years of relevant industry experience in media development or raw materials
</p>,<p>Profound experience in spectroscopic methods and raw material analysis
</p>,<p>Familiarity with relevant regulatory guidelines (e.g., ICH, GMP), know how of mammalian biochemistry and metabolism is a plus
</p>,<p>Preferably strong publication record and/or industry network in the relevant field
</p>,<p>Self-motivated and goal-oriented. Ability to think in new ways and work in a dynamic environment
</p>,<p>Excellent oral and written communication skills in English; German would be an asset</p>,<p>
Identification with our core values: Sustainability, Openness, Enjoyment</p>,<p>
Opportunity for international career development: a global network offering seminars and training sessions, expert and manager career paths</p>,<p>
Open and highly collaborative culture: mutual support within teams and working as equals, team spirit and international collaboration</p>,<p>
Work-life balance: Working from home at many sites</p>,<p>
Intelligent working environment: working in smart buildings with the latest technology and equipment</p>,<p>
Ambitious goals: Sartorius plans to double its sales revenue approximately every five years and expects to grow its global team to approximately 15,000 people in 2025</p>"
Senior SAP LE/TM Consultant (m/w/d),Helm,Hamburg,"We are one of the world's leading chemical marketing enterprises.
Working for HELM has advantages that go beyond the many attractive benefits.",30,4/2/21,recJobLoc_ee6dbbcff88418ad,https://de.indeed.com/rc/clk?jk=ee6dbbcff88418ad&fccid=feeac034ca41a48b&vjs=3,53.55,10,Hamburg,admin,1841179,"You will manage (sub-) projects to improve global processes or work on them. You will focus on the continuous optimization and further development of IT processes in the area of SAP LE/TM
,You will also be responsible for the analysis, creation of concepts and implementation in the LE/TM,You keep an eye on the compliance of standards and make sure that uniform LE/TM designs (SAP template) are applied.,You will work closely with internal specialist departments within the Group (process owners) and coordinate external service providers.,After the project is completed, you will be responsible within the IT department for the further expansion and worldwide integration of LE/TM processes and will contribute your know-how profitably.,For this position, you should have a degree in business administration or business informatics or a comparable training.,You have a high level of process consulting competence and broad technical knowledge in the area of SAP LE/TM. You have at least 5 years of project and customizing experience in the SAP environment in the LE/TM module, ideally you have realized first projects with S/4 HANA.,Your innovative open-mindedness and consulting competence in SAP/4 HANA LE/TM as well as FIORI are advantageous for us. Furthermore, a profound integration knowledge of the modules MM, SD and FICO is advantageous
,In previous IT projects, you have gained experience as a sub-project manager and in modeling processes (BPMN).,You have good analytical and conceptual skills as well as an interest in working independently in complex subject areas. You are characterized by a high willingness to take on IT process responsibility.,You are assertive and communicative and think in terms of solutions.
,You enjoy working in an international environment and are fluent in English and German.,Professional trainings and language courses,Company kindergarten for children between 3 and 7 years of age,30 days of holiday,4 holiday apartments,Company pension scheme - increased allowance for direct insurance offered by the Company and/or pension fund,Advance towards season ticket for public transport,HELM's company restaurant"
Quality Test Engineer (m/w/d),RELX Group,Frankfurt am Main,"Reaxys retrieves chemical literature, compound properties and reaction data faster than any other solution.
It is used by synthetic, pharmaceutical, industrial…",30,4/2/21,recJobLoc_273f80113a16e2a2,https://de.indeed.com/rc/clk?jk=273f80113a16e2a2&fccid=06206ab329e0eb22&vjs=3,,,,,,
Intern In Silico Research (all genders),Merck KGaA,Darmstadt,"Familiar with drawing and interpreting chemical depictions.
A career at our company is an ongoing journey of discovery: our 57,000 people are shaping how the…",9,4/2/21,recJobLoc_05a1a013daf0d044,https://de.indeed.com/rc/clk?jk=05a1a013daf0d044&fccid=68d0e0954a811351&vjs=3,49.8667,8.65,Hesse,minor,159207,"Solid experience in Python programming, ideally also experienced in Java and Bash scripting,Familiar with software engineering best practices,Familiar with drawing and interpreting chemical depictions,Ideally basic knowledge of machine learning"
Sales Coordination & CRM Manager (all genders welcome),thyssenkrupp Industrial Solutions AG,Essen,"Based on more than 200 years of experience we supply tailored, turnkey plants and components for customers in the chemical, fertilizer, cement, mining and steel…",27,4/2/21,recJobLoc_278f029292fa1a10,https://de.indeed.com/rc/clk?jk=278f029292fa1a10&fccid=420b500a4ca0d81f&vjs=3,51.4508,7.0131,North Rhine-Westphalia,minor,583109,"You are responsible for holding regular sales status meetings with all operating units.,The provision of regular analyses and reports on the overall situation of the BU MIN-Sales Pipeline to management and respective departments is ensured by you.,You support the management to ensure adherence of the local organizations to the defined sales strategies.,You will support the local organizations with project related customer insights &amp; analyses.,You are responsible for the general support and training of the organisation in order to be able to efficiently comply with all CRM processes.,You have a degree in business administration, engineering, IT or economics.,You have good professional experience, preferably in plant engineering, and already have experience in sales, engineering, quality management and/or IT.,A good understanding of the global mining industry and mining product knowledge is an advantage.,You have good oral and written communication skills in German and English.,You will be able to handle highly confidential information and interact comfortably with individuals at different levels of management within the organization.,You work independently, motivated and convincing with your own initiative.,General IT skills, e. g. familiarity with MS Office computers such as Word, Excel, PowerPoint, Outlook, etc. are a matter of course for you."
Frontend Developer with UX skills (Freelancer),apheris AI,Berlin,"We have set up such Data Ecosystems for top 10 pharma and chemical R&D enterprises and are ready for more.
Apheris is a deep tech company with the mission to…",30,4/2/21,recJobLoc_c71d2da374154249,https://de.indeed.com/rc/clk?jk=c71d2da374154249&fccid=61f7a6a3f83640ae&vjs=3,52.5167,13.3833,Berlin,primary,3644826,"Expand on competitive analysis on the UI of best-in-class data science web applications,Provide feedback on the user interactions leveraging existing wireframes and prototypes, focusing on intuitiveness, consistency and user experience,Contribute to interactive high-fidelity prototypes in Figma,Execute frontend implementation (Vue.js and Vuetify, following Material Design language), creating reusable UI components,Closely collaborate with backend engineers,Join agile ceremonies to review and plan product work,Several years of working experience as a frontend developer (and UX designer), contributing to modern web applications,Passion for building intuitive software that people love to use,Experience with creating interactive high-fidelity prototypes,Experience with HTML5, CSS3 code, client-side scripting and JavaScript frameworks,Proven ability to build reusable UI components and libraries for future use,Experience with Vue.js/Vuex and ES6,Experience building web apps for data scientists,<b>I</b><b>nitial Screening: </b>If your application matches our requirements, our hiring manager will invite you to an initial video call. In this 45 minutes interview, you will get to know us and the role. Our hiring manager will be interested in your relevant experiences and skills as well as answer any question on the company and the role itself that you may have.,<b>Deep Dive:</b> Your second video call will be with a domain expert from our team. Our interviewer will assess your skills and knowledge required for the role by asking you about meaningful experiences or your solutions for specific scenarios in line with the role we are staffing.,<b>Final Interview:</b> Finally, we invite you to our office for two to three hours of interviewing with our founders, talking about our culture and meeting future co-workers on the ground."
Automation Engineer for Large Capital Projects (m/f/d),BASF,Ludwigshafen am Rhein,"Ludwigshafen is the world's largest integrated chemical complex and home to BASF Group headquarters.
We push forward innovations in all areas of the chemical…",30,4/2/21,recJobLoc_e6fc2efa895127ac,https://de.indeed.com/rc/clk?jk=e6fc2efa895127ac&fccid=38313780e9822361&vjs=3,,,,,,
Management Consultant (m/f/d),BASF,Ludwigshafen am Rhein,"Ludwigshafen is the world's largest integrated chemical complex and home to BASF Group headquarters.
We are the global in-house management consultancy for BASF.",30,4/2/21,recJobLoc_a76969486050290e,https://de.indeed.com/rc/clk?jk=a76969486050290e&fccid=38313780e9822361&vjs=3,,,,,,
Senior Process Engineer (m/w/d),Vion Food Group,Emstek,"In order to strengthen our team at Vion Emstek GmbH in Emstek, we are currently looking for an.
Senior Process Engineer (m/f/d).",30,4/2/21,recJobLoc_b6c4b660e9cea1f9,https://de.indeed.com/rc/clk?jk=b6c4b660e9cea1f9&fccid=6d946835dd903506&vjs=3,,,,,,"Understanding and identifying technology and equipment that is the best fit for required,Increase know-how in robotics and automation and implement best practises,Develop cost estimates, schedules, execution and startup budgets and plans for activities,Oversight of equipment negotiation, purchase, installation, and commissioning,Documentation of line capabilities and processes,Ensure quality and food safety by building quality control into processes,Fundamental project management skills to develop robust timelines and cost estimates for initiatives,Communicate effectively with stakeholders and collaborate cross-functionally,The position will require travel to facilities,Master Degree in Mechanical, Electrical, Chemical Engineering,Food Science, or related science,5 - 10 years experience in a Food/Beverage and/or Chemical company,Experience in process optimization in complex production environment,Demonstrated ability to lead manufacturing scale-up projects in food/beverage,Significant experience working with Food or Chemical industry,Depth in quality systems such as HACCP, GMP, SQF,Proficient in MS Office suite (particularly Excel, Word, and PowerPoint), MS Project,Experience with optimization and/or BI programs like AIMMS, Alteryx, PowerBI etc is a pre.,Strong analytical and problem-solving skills required"
